"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
2,1492,10,1,3,1,9,-5,-4,6,0,3,2,4,3,3,1,45000,-4,0,0,2080,0,6
3,1493,12,5,3,2,4,160,-4,5,3,2,1,1,1,2,1,0,-4,0,0,0,0,6
-4,1494,9,5,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-2,1495,5,5,3,2,6,185,-4,4,11,1,1,4,3,3,3,12000,-4,0,0,1584,0,9
3,1496,12,1,3,1,2,248,-4,6,2,2,2,4,5,4,4,-1,-4,0,0,3120,0,13
-4,1497,12,5,3,2,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1498,18,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1499,15,5,3,2,4,185,-4,5,6,3,3,1,2,3,2,19272,-4,0,0,1560,0,4
5,1500,9,1,3,1,6,204,-4,6,1,3,1,4,3,4,3,71000,-4,0,0,2340,0,2
3,1501,16,1,3,1,2,190,-4,6,2,2,1,1,1,2,2,85800,-4,0,0,2600,0,10
5,1502,16,5,3,2,2,-5,-4,5,6,2,2,1,2,3,0,0,-4,0,0,0,0,7
5,1503,18,1,3,1,2,168,-4,5,9,2,1,3,1,1,0,99000,-4,0,0,3133,0,13
1,1504,-2,1,3,1,2,155,-4,5,8,2,2,3,4,4,1,110000,-4,1,0,0,10,7
1,1505,14,1,3,1,7,190,-4,5,9,1,1,3,1,3,1,65000,-4,0,0,2330,0,8
4,1506,19,1,3,1,6,310,12,6,1,1,1,1,1,1,0,36000,-4,1,1,2112,3,28
4,1507,16,5,3,2,4,249,-4,5,5,1,1,1,1,1,0,0,-4,0,0,0,0,23
-4,1508,16,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1509,12,1,3,1,6,240,-4,6,0,2,1,1,1,1,0,0,-4,0,0,0,52,41
3,1510,14,5,3,2,2,285,-4,5,8,4,1,4,3,4,0,27000,-4,1,0,2080,0,5
4,1511,14,5,3,2,2,300,-4,5,6,1,2,1,2,3,0,24000,-4,1,1,2080,0,11
3,1512,13,5,3,2,6,155,-4,5,3,2,2,4,1,1,1,28000,-4,0,0,1560,0,15
-4,1513,14,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1514,12,5,3,2,2,184,-4,5,5,1,2,1,5,5,3,36000,-4,0,0,1040,0,8
3,1515,11,1,3,1,4,275,-4,5,10,2,-4,4,1,5,3,156000,-4,0,0,2540,0,8
5,1516,6,7,2,2,4,250,-4,5,5,1,1,1,3,3,2,32492,-4,1,1,2080,0,5
-4,1517,12,7,2,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1518,12,3,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1519,7,7,2,2,4,171,-4,5,4,1,1,1,1,1,3,42000,-4,0,0,2080,0,10
3,1520,9,3,2,1,4,200,-4,5,6,1,2,1,3,3,5,38000,-4,0,0,2080,0,3
3,1521,10,3,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1522,10,7,2,2,4,175,-4,5,6,2,2,4,1,1,0,13867,-4,0,0,1380,0,10
-4,1523,8,3,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1524,-3,7,2,2,5,119,-4,5,2,2,2,2,4,5,0,25000,-4,0,0,1976,0,9
-2,1525,-3,5,3,2,7,140,-4,5,5,2,2,3,4,3,2,24000,-4,1,1,1872,0,15
-4,1526,16,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1527,10,3,2,1,4,180,-4,5,8,2,2,3,3,5,1,35000,-4,0,1,2080,0,12
4,1528,9,3,2,1,4,160,-4,5,6,2,2,4,3,3,0,0,-4,0,1,0,0,10
3,1529,12,7,2,2,4,-2,-4,5,7,2,2,1,3,2,4,27000,-4,1,0,2080,0,5
4,1530,12,7,2,2,4,230,15,5,9,-4,1,1,1,2,6,40000,-4,0,0,304,4,16
3,1531,12,5,3,2,2,165,-4,5,6,2,2,4,5,5,1,35000,-4,0,0,2080,0,4
-4,1532,9,5,3,2,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1533,-3,8,1,2,4,150,-4,5,4,2,2,4,4,3,1,0,-4,1,0,0,0,14
5,1534,10,8,1,2,4,125,13,4,10,1,1,1,1,1,0,91000,-4,0,0,2330,0,6
-4,1535,10,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1536,10,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1537,10,4,1,1,4,175,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1538,8,8,1,2,4,140,-4,5,2,2,1,1,1,1,0,120000,-4,0,0,-3,0,20
1,1539,10,6,3,2,2,112,-4,5,3,1,4,3,2,3,0,69000,-4,0,0,2080,0,22
1,1540,6,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1541,9,5,3,2,4,132,-4,5,4,5,-2,4,2,2,0,3250,-4,0,1,0,-3,18
5,1542,7,1,3,1,6,190,-4,5,8,2,1,4,5,5,0,0,-4,0,0,0,0,8
-4,1543,10,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1544,11,5,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1545,14,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1546,12,6,3,2,6,150,-4,5,4,2,2,4,4,4,2,35000,-4,0,1,1976,0,16
5,1547,13,1,3,1,7,125,-4,6,0,1,1,3,5,5,0,36800,-4,0,0,2600,0,32
3,1548,10,5,3,2,2,120,-4,5,4,1,1,4,5,5,0,21000,-4,0,1,2028,0,14
4,1549,8,5,3,2,2,187,-4,4,5,1,1,3,1,1,0,0,-4,0,0,0,0,15
-4,1550,12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1551,10,5,3,2,4,180,-4,5,6,2,2,3,2,2,1,0,-4,0,1,0,0,13
5,1552,12,5,3,2,1,128,-4,5,5,2,1,4,1,1,1,22000,-4,0,1,1456,0,31
5,1553,10,5,3,2,2,168,-4,5,3,2,1,1,1,1,1,35000,-4,0,0,2105,0,11
2,1554,14,1,3,1,7,175,-4,5,10,3,3,3,1,5,3,62000,-4,0,1,2080,0,11
2,1555,14,1,3,1,7,198,-4,6,1,2,2,1,2,2,0,35000,-4,0,0,2676,0,29
2,1556,14,1,3,1,2,175,-4,6,2,2,2,4,4,4,0,57000,-4,0,0,2080,0,21
1,1557,14,1,3,1,2,205,-4,6,0,1,1,3,1,1,2,0,-4,0,0,2080,0,19
4,1558,14,5,3,2,2,168,-4,5,4,2,1,3,5,5,0,0,-4,0,1,0,0,21
5,1559,10,5,3,2,7,140,-4,5,0,1,1,4,3,1,0,0,-4,0,0,0,0,15
3,1560,18,1,3,1,4,192,-4,5,5,1,1,1,4,4,2,0,-4,0,0,0,0,20
2,1561,-4,4,1,1,2,195,-4,5,8,2,2,3,1,1,1,30000,-4,0,0,575,0,15
-4,1562,12,5,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1563,8,1,3,1,4,200,-4,6,0,2,2,4,2,2,0,30000,-4,0,0,1040,0,10
5,1564,14,5,3,2,1,175,-4,5,8,2,1,4,1,1,1,19000,-4,1,1,2008,0,24
1,1565,14,1,3,1,2,212,-4,6,1,2,2,1,4,2,0,0,5000,0,0,2440,0,12
4,1566,8,5,3,2,4,-5,-4,5,6,2,1,1,1,1,1,55000,-4,0,1,2100,0,12
1,1567,13,1,3,1,7,200,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1568,14,5,3,2,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1569,12,1,3,1,6,170,-4,6,0,4,2,3,2,2,0,98700,-4,1,1,2080,0,24
-4,1570,-2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1571,16,5,3,2,7,125,-4,5,7,2,2,3,1,2,0,60000,-4,0,0,1872,0,17
-4,1572,16,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1573,12,4,1,1,6,230,-4,6,0,2,1,3,3,3,2,66000,-4,0,0,2080,0,11
2,1574,15,1,3,1,7,230,-4,5,11,2,2,1,2,3,0,95000,-4,0,0,2130,0,13
1,1575,13,1,3,1,4,195,-4,6,0,2,2,3,1,1,0,332954,-4,0,0,3120,0,10
-4,1576,13,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1577,12,1,3,1,4,200,-4,5,7,1,1,1,1,1,1,51500,-4,0,0,2080,0,25
4,1578,14,1,3,1,-5,190,-4,5,11,3,2,4,5,5,0,12000,-4,1,1,580,0,37
2,1579,12,5,3,2,6,127,-4,5,2,2,2,3,2,2,0,34569,-4,0,1,2080,0,21
-4,1580,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1581,-4,5,3,2,4,150,-4,5,2,1,1,1,3,3,1,-2,-4,0,0,1300,0,21
-4,1582,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1583,13,5,3,2,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1584,10,5,3,2,4,150,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1585,13,1,3,1,4,225,-4,5,10,2,2,1,5,5,3,80000,-4,0,0,2080,0,17
5,1586,13,5,3,2,6,125,-4,5,3,2,2,3,1,2,0,90000,-4,0,0,2080,0,19
5,1587,17,5,3,2,6,-1,-4,5,6,2,2,1,2,2,0,37000,-4,0,0,1560,0,7
3,1588,17,1,3,1,4,185,18,5,8,2,2,4,4,4,0,49000,-4,0,0,3276,0,12
2,1589,12,5,3,2,7,152,-4,5,7,2,1,3,3,3,0,90000,-4,0,0,2080,0,11
5,1590,11,1,3,1,7,290,-4,5,8,-4,1,1,5,5,0,25000,-4,0,0,2080,0,10
5,1591,11,1,3,1,6,170,-4,5,10,1,2,3,3,3,1,0,-4,0,0,0,0,22
4,1592,11,5,3,2,7,225,-4,5,4,2,2,1,4,4,0,32000,-4,0,0,2080,0,19
4,1593,10,5,3,2,2,150,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1594,10,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1595,12,1,3,1,-5,175,-4,5,11,1,1,3,1,1,0,-1,-4,0,0,2280,0,28
4,1596,-2,6,3,2,7,260,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1597,12,1,3,1,4,174,-4,5,11,1,1,4,4,4,10,38000,-4,0,1,1100,27,20
1,1598,12,5,3,2,4,180,-4,5,4,2,1,1,3,3,2,46000,-4,0,1,2080,0,23
5,1599,12,5,3,2,2,180,-4,5,3,1,2,1,3,3,0,10000,-4,0,0,2010,0,8
4,1600,-2,6,3,2,4,200,-4,5,5,4,1,4,5,5,2,54000,-4,0,1,2080,0,15
-4,1601,12,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1602,12,1,3,1,2,230,-4,6,2,2,1,4,2,1,5,183000,-4,0,0,3145,0,10
1,1603,13,1,3,1,7,187,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1604,12,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1605,14,5,3,2,2,180,-4,5,0,2,2,4,4,5,0,40000,-4,0,0,2110,0,13
4,1606,12,5,3,2,2,-5,-4,5,4,2,2,1,1,3,0,0,-4,0,0,0,52,10
1,1607,11,5,3,2,7,250,-4,5,4,1,1,1,2,1,1,28000,-4,0,0,2080,0,9
-4,1608,12,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1609,10,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1610,12,5,3,2,4,125,-4,5,5,1,1,1,2,2,0,15500,-4,0,0,1820,0,13
3,1611,12,1,3,1,4,225,-4,6,2,2,2,3,3,4,2,160000,-4,0,0,2240,0,15
3,1612,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1613,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1614,11,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1615,11,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1616,14,5,3,2,7,188,-4,5,3,5,3,1,2,2,0,0,-4,1,1,0,0,8
1,1617,12,5,3,2,2,135,-4,5,3,3,2,1,1,2,0,32000,-4,0,1,2080,0,18
3,1618,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1619,8,1,3,1,4,220,-4,6,3,1,1,4,5,5,0,94000,-4,0,0,1650,-3,8
-4,1620,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1621,17,5,3,2,3,250,-4,5,6,2,2,1,1,1,0,49000,-4,0,0,2080,0,11
5,1622,18,1,3,1,2,180,-4,6,0,2,1,4,1,1,0,150000,-4,0,0,2080,0,17
4,1623,16,5,3,2,1,265,-4,5,6,2,2,4,1,1,2,0,-4,1,0,0,0,9
4,1624,12,5,3,2,4,195,-4,5,7,2,1,1,2,2,0,332954,-4,0,0,3150,0,9
-4,1625,16,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1626,14,1,3,1,7,270,-4,5,10,1,1,1,2,2,0,95000,-4,0,0,2340,0,17
2,1627,14,1,3,1,7,205,-4,5,6,1,2,4,1,1,0,0,-4,0,0,0,0,26
2,1628,-3,1,3,1,2,195,-4,5,10,2,2,3,1,1,1,50000,-4,0,0,1078,0,8
1,1629,12,5,3,2,6,130,-4,5,5,2,1,1,1,1,2,90000,-4,0,0,2340,0,4
4,1630,12,1,3,1,2,195,-4,5,11,1,1,3,1,1,0,75000,-4,0,0,2860,0,6
5,1631,16,1,3,1,7,325,-4,6,2,2,2,3,4,1,1,154000,3500,0,0,2702,0,20
5,1632,16,1,3,1,2,265,-4,5,11,2,2,1,3,3,1,180000,-4,0,0,2080,0,4
1,1633,16,5,3,2,8,245,-4,5,10,2,1,1,1,1,0,140000,-4,0,0,2080,0,30
4,1634,12,5,3,2,7,145,-4,5,6,2,2,1,1,1,1,0,-4,0,0,0,0,5
2,1635,12,1,3,1,4,148,-4,5,8,2,2,4,2,1,1,66378,-4,0,1,2080,0,10
2,1636,12,1,3,1,4,176,-4,5,10,2,2,4,1,1,1,42500,-4,0,1,2080,0,9
4,1637,16,1,3,1,7,240,-4,5,4,2,2,1,1,2,6,10000,-4,0,1,2080,0,15
3,1638,-2,5,3,2,2,160,-4,5,5,4,2,4,5,5,0,0,-4,0,0,71,0,9
2,1639,-2,5,3,2,3,186,-4,5,6,1,1,1,1,3,1,0,-4,0,0,0,0,4
5,1640,12,5,3,2,4,150,-4,5,-4,1,1,4,1,1,1,66000,-4,1,0,1924,0,15
5,1641,12,4,1,1,6,188,-4,5,10,2,2,3,3,3,0,170000,-4,0,0,2080,0,8
2,1642,6,8,1,2,5,160,-4,5,1,2,2,1,3,5,2,52000,-4,0,1,3064,0,11
1,1643,4,4,1,1,4,210,-4,5,10,1,1,4,4,3,0,80000,-4,0,0,2080,0,11
2,1644,4,4,1,1,4,140,-4,5,4,1,4,3,2,2,0,0,-4,0,0,0,0,16
3,1645,4,4,1,1,4,145,-4,5,4,1,1,3,5,3,2,50000,-4,0,1,2300,0,20
4,1646,10,8,1,2,5,182,-4,5,2,3,2,1,1,2,0,82000,-4,0,0,350,-3,6
4,1647,-2,6,3,2,4,-5,-4,5,76,2,2,1,3,5,1,13000,-4,0,0,1560,0,12
5,1648,-2,6,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1649,12,8,1,2,4,165,-4,5,3,2,1,1,1,1,0,0,-4,0,0,0,0,8
4,1650,12,8,1,2,5,132,-4,5,2,5,2,1,5,5,1,23000,-4,0,0,2080,0,6
3,1651,9,4,1,1,4,290,-4,5,11,1,1,1,4,4,2,332954,-4,0,0,2080,0,3
-4,1652,18,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1653,14,1,3,1,4,185,-4,6,1,2,2,3,1,1,0,150000,-4,0,0,2330,0,6
4,1654,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1655,12,5,3,2,7,135,-4,5,3,2,1,1,1,2,0,24000,-4,0,0,1892,0,12
4,1656,12,5,3,2,2,160,-4,5,7,2,2,1,1,2,5,65000,-4,0,0,2340,0,13
4,1657,12,5,3,2,2,252,-4,5,0,3,5,1,2,2,1,0,-4,0,0,0,0,22
5,1658,12,5,3,2,7,250,-4,5,6,1,1,4,2,2,1,8000,-4,0,0,780,0,13
3,1659,12,1,3,1,2,210,-4,5,10,1,1,1,1,1,0,0,-4,1,0,0,1,32
-2,1660,12,1,3,1,2,-5,12,5,10,5,2,1,5,5,0,0,-4,0,0,0,0,17
4,1661,12,5,3,2,2,115,-4,5,1,2,2,3,3,3,0,0,-4,0,0,0,0,16
4,1662,12,5,3,2,2,185,-4,5,6,-4,1,4,3,3,3,0,-4,0,1,0,0,14
3,1663,12,4,1,1,4,189,-4,5,8,2,1,1,3,5,5,24000,-4,0,0,1950,0,19
3,1664,14,4,1,1,4,250,-4,5,7,2,2,1,4,4,0,0,15000,0,0,2080,0,8
-4,1665,14,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1666,14,8,1,2,5,180,-4,5,3,2,2,1,2,2,3,52000,-4,1,1,3328,0,15
5,1667,12,1,3,1,2,-5,-4,5,10,1,1,1,3,3,1,0,-4,1,0,0,0,10
2,1668,16,4,1,1,4,265,-4,-1,-1,2,1,3,2,2,0,-1,-4,0,0,2748,0,30
-4,1669,16,4,1,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1670,18,1,3,1,7,90,-4,6,1,2,2,4,1,2,0,142000,-4,0,0,1924,0,10
-4,1671,-3,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1672,8,1,3,1,4,220,-4,6,1,2,2,3,1,3,1,40000,-4,0,0,0,0,16
4,1673,-3,1,3,1,2,150,-4,5,8,1,1,3,3,3,1,0,-4,0,0,0,0,31
5,1674,-3,5,3,2,4,160,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1675,12,5,3,2,4,160,-4,5,4,2,1,1,3,3,1,164000,-4,0,0,2610,0,9
2,1676,13,5,3,2,7,162,-4,5,2,2,1,1,1,1,0,136000,-4,0,0,2080,0,8
4,1677,13,1,3,1,4,175,-4,5,7,2,2,3,2,2,3,91000,-4,0,0,2090,0,3
-4,1678,-3,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1679,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1680,-4,5,3,2,9,185,-4,5,8,2,2,4,5,5,0,27000,-4,0,1,942,0,15
-4,1681,14,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1682,12,1,3,1,2,180,-4,6,0,2,2,4,3,3,0,27000,-4,0,0,940,0,18
5,1683,14,5,3,2,7,180,-4,5,10,2,2,4,1,1,0,40000,-4,0,1,1664,0,13
-4,1684,-2,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1685,-2,7,2,2,4,139,-4,5,2,2,2,3,5,5,0,0,-4,0,0,0,0,9
4,1686,-2,3,2,1,4,140,-4,5,8,2,4,2,5,5,0,0,-4,0,0,0,0,12
5,1687,-3,3,2,1,4,187,-4,5,8,2,2,2,2,2,4,0,-4,1,0,0,52,4
-4,1688,7,7,2,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1689,-2,8,1,2,4,200,-4,5,4,1,2,1,5,5,0,0,-4,0,0,0,0,2
-4,1690,6,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1691,-3,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1692,6,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1693,-3,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1694,6,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1695,-3,4,1,1,4,160,-4,5,5,2,2,3,5,5,3,0,-4,0,0,1176,0,31
2,1696,-3,4,1,1,7,185,-4,5,6,1,1,3,2,2,1,41000,-4,0,0,2080,0,8
-4,1697,6,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1698,-3,4,1,1,7,170,-4,5,5,1,1,2,5,5,1,0,-4,0,0,0,0,10
-4,1699,11,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1700,-3,4,1,1,6,180,-4,5,11,2,2,3,4,4,1,90000,-4,0,0,2080,0,6
-4,1701,12,4,1,1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1702,-2,4,1,1,6,180,-4,5,10,2,2,4,1,1,1,110000,-4,0,0,2080,0,8
4,1703,-3,8,1,2,4,110,-4,5,2,2,2,4,1,2,0,90000,-4,0,0,2000,0,6
5,1704,12,8,1,2,4,204,-4,5,9,2,2,1,1,1,0,40000,-4,0,0,1680,0,25
3,1705,12,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1706,12,1,3,1,6,185,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1707,16,5,3,2,4,185,-4,5,8,2,2,3,1,2,0,0,-4,0,0,0,0,4
4,1708,20,1,3,1,4,180,-4,6,1,1,1,4,2,2,1,1260,-4,0,0,1662,0,17
-4,1709,16,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-2,1710,16,1,3,1,2,160,-4,5,9,1,1,3,3,3,3,103636,-4,0,0,2080,0,13
4,1711,12,5,3,2,4,160,-4,5,3,2,2,1,2,3,2,0,-4,0,1,0,0,14
5,1712,12,5,3,2,4,145,-4,5,7,5,2,4,1,2,0,0,-4,0,0,0,0,18
3,1713,20,7,2,2,5,230,20,5,5,2,2,1,1,1,0,5200,-4,1,1,820,0,19
4,1714,17,7,2,2,6,187,-4,5,6,3,1,1,4,4,0,15000,-4,0,0,0,0,18
-4,1715,16,3,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1716,16,7,2,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1717,16,3,2,1,4,200,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1718,14,3,2,1,4,200,-4,6,0,2,1,3,1,1,0,20000,-4,0,0,2100,0,9
5,1719,12,7,2,2,4,-1,-4,5,5,-4,-4,1,1,1,0,80000,-4,0,1,2740,0,2
2,1720,16,7,2,2,4,132,-4,5,4,2,2,1,1,1,0,80000,-4,0,1,2600,0,15
1,1721,2,4,1,1,4,180,-4,5,5,2,1,1,5,5,0,125000,-4,0,0,2080,0,4
-4,1722,0,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1723,0,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1724,-2,4,1,1,4,199,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2556,0,14
3,1725,9,5,3,2,4,145,-4,5,7,1,2,3,3,3,0,0,-4,0,0,0,0,7
-4,1726,12,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,1727,12,5,3,2,4,118,-4,5,2,2,2,3,3,3,0,0,-4,0,0,0,0,9
-4,1728,6,4,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1729,12,8,1,2,4,300,-4,5,6,1,1,4,3,3,1,0,-4,0,1,0,0,16
4,1730,12,5,3,2,4,-5,19,4,10,-4,-4,4,1,3,1,65464,-4,1,1,2080,0,16
-4,1731,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,1732,12,5,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,1733,12,5,3,2,7,138,-4,5,6,2,2,3,2,2,0,163000,-4,0,0,2380,0,10
